,Title,Content,Author,Date and Time
626,People participate in community fishing during Bhogali Bihu festival in India," People participate in community fishing during Bhogali Bihu, a festival marking the end of the winter harvesting season, in Nagaon district, Assam state, India, on Jan. 13, 2023. (Str/Xinhua)  People participate in community fishing during Bhogali Bihu, a festival marking the end of the winter harvesting season, in Nagaon district, Assam state, India, on Jan. 13, 2023. (Str/Xinhua)  People participate in community fishing during Bhogali Bihu, a festival marking the end of the winter harvesting season, in Nagaon district, Assam state, India, on Jan. 13, 2023. (Str/Xinhua)  People participate in community fishing during Bhogali Bihu, a festival marking the end of the winter harvesting season, in Nagaon district, Assam state, India, on Jan. 13, 2023. (Str/Xinhua)  People participate in community fishing during Bhogali Bihu, a festival marking the end of the winter harvesting season, in Nagaon district, Assam state, India, on Jan. 13, 2023. (Str/Xinhua)",Xinhua,2023-01-14 09:34
618,"U.S. health agencies see possible link between Pfizer's updated COVID-19 shot, strokes","LOS ANGELES, Jan. 13 (Xinhua) -- The U.S. Centers for Disease Control and Prevention (CDC) and the U.S. Food and Drug Administration (FDA) announced on Friday that their surveillance system flagged a possible link between the new Pfizer-BioNTech bivalent COVID-19 vaccine and strokes in people aged 65 and older. Following the availability and use of the updated vaccine, CDC's Vaccine Safety Datalink, a near real-time surveillance system, met the statistical criteria to prompt additional investigation into ""whether there was a safety concern"" for ischemic stroke in people aged 65 and older who received the updated vaccine, according to a statement on the CDC website. The investigation ""raised a question of whether"" stroke risk was elevated in the 21-day period post-vaccination versus 22 to 44 days post-vaccination, according to the CDC. A preliminary study using the U.S. Veterans Affairs database did not indicate an increased risk of ischemic stroke following the updated vaccine, according to the CDC. The Vaccine Adverse Event Reporting System managed by CDC and FDA has not seen an increase in reporting of ischemic strokes following the vaccine. Pfizer and BioNTech said in a statement that ""there is no evidence to conclude that ischemic stroke is associated with the use of the companies' COVID-19 vaccines.""",Xinhua,2023-01-14 09:38
642,Omicron new subvariant strains U.S. hospitals amid fast spread,"LOS ANGELES, Jan. 13 (Xinhua) -- Omicron new subvariant XBB.1.5 is spreading quickly in the United States during the third COVID-19 winter, straining U.S. hospital systems and causing staffing shortages. XBB.1.5 is estimated to account for 43 percent of COVID-19 cases in the United States for the week ending Jan. 14, according to data released Friday by the U.S. Centers for Disease Control and Prevention (CDC). XBB.1.5 is currently the most transmissible variant in the country. It made up 30.4 percent of the total cases in the week ending Jan. 7, rising from 20.1 percent from a week before and 11.8 percent from two weeks prior, according to the CDC. The World Health Organization said earlier this week XBB.1.5 may spur more COVID-19 cases based on genetic characteristics and early growth rate estimates. Public health officials are closely monitoring the spread of XBB.1.5, the most transmissible form of the coronavirus yet seen. The mutations XBB.1.5 has acquired have made it more contagious. A more transmissible strain has the evolutionary advantage that it will spread faster than others, and therefore could displace other strains, according to health experts. However, this new strain does not appear to cause more severe disease. Like other Omicron descendants, it probably causes milder illness compared with the Delta variants that predated Omicron. There are some studies that suggest XBB.1.5 is more immune-evasive compared with previously dominant Omicron strains. Further research is underway to identify the degree of immune protection afforded by existing vaccines. The rise in the new variant correlated with an uptick in COVID-19 cases in United States over the last six weeks. Winter has traditionally been crunchtime for hospitals because of influenza and another seasonal pathogen, respiratory syncytial virus. Now SARS-CoV-2 has joined them to form an unholy trinity of pathogens that surge in the cold months. With respiratory viruses across the country, hospitals nationwide are facing severe shortages of beds and staff to provide adequate care for patients. White House COVID-19 response coordinator Ashish Jha said the American health-care system may not be able to withstand the continued viral onslaught, which strains the system's ability to care for other serious illnesses. As the United States enters the third full COVID-19 winter, officials are warning the permanence of the coronavirus in the disease landscape could mean brutal and long-lasting seasonal surges of cold-weather illnesses for years to come, said a report of The Washington Post. ""I am worried that we are going to have, for years, our health system being pretty dysfunctional, not being able to take care of heart attack patients, not being able to take care of cancer patients, not being able to take care of the kid who's got appendicitis because we're going to be so overwhelmed with respiratory viruses for ... three or four months a year,"" Jha told the newspaper.",Xinhua,2023-01-14 09:40
645,Omicron subvariant XBB.1.5 accounts for nearly half U.S. new COVID-19 infections,"LOS ANGELES, Jan. 13 (Xinhua) -- Omicron new subvariant XBB.1.5 is estimated to account for 43 percent of the COVID-19 cases in the United States for the week ending Jan. 14, according to data released Friday by the U.S. Centers for Disease Control and Prevention (CDC). The subvariant XBB.1.5 is spreading quickly in the United States. It made up 30.4 percent of the total cases in the week ending Jan. 7, rising from 20.1 percent from a week before and 11.8 percent from two weeks prior, according to the CDC. XBB.1.5 is currently the most transmissible variant in the country. The World Health Organization said earlier this week XBB.1.5 may spur more COVID-19 cases based on genetic characteristics and early growth rate estimates. Another two dominant Omicron subvariants BQ.1 and BQ.1.1 accounted for about 45 percent of new COVID-19 cases in the United States in the latest week, CDC data showed.",Xinhua,2023-01-14 09:49
663,Peace remains elusive in U.S. as gun violence haunts: The Guardian,"LONDON, Jan. 13 (Xinhua) -- It remains difficult for the United States to achieve peace due to the stubborn issue of gun violence, The Guardian said in a review of American writer Paul Auster's book Bloodbath Nation. ""America's relationship to the gun is anything but rational ... and therefore we have done little or nothing to fix the problem,"" the review, published on Wednesday, quoted Auster's book as saying. The fix to U.S. gun violence does not reside in banning the manufacture and sale of all guns -- because attempting to do so would be as impractical and ineffective as the banning of alcohol during prohibition, which criminalized ordinary people and created a flourishing black market, the review said while summarizing the points in Auster's book. ""Peace will break out only when both sides want it, and in order for that to happen, we would first have to conduct an honest, gut-wrenching examination of who we are and who we want to be as a people going forward into the future, which necessarily would have to begin with an honest gut-wrenching examination of who we have been in the past,"" it quoted Auster's book as saying. ""Peace is not going to break out -- because one side does not want peace,"" said The Guardian review, citing the polarizing rhetoric of the National Rifle Association and its allies, who regarded every mass shooting as an opportunity to argue for more guns not fewer.",Xinhua,2023-01-14 09:49
591,COVID winters make long hospital waits new normal in U.S.: media,"LOS ANGELES, Jan. 13 (Xinhua) -- As the United States enters its third full COVID winter, officials are warning that the permanence of the coronavirus in the disease landscape could mean brutal and long-lasting seasonal surges of cold-weather illnesses for years to come, said a report of The Washington Post. It will result in hospitals struggling to care for non-COVID emergencies and unable to give patients timely, lifesaving treatments, said the report published on Wednesday. Winter has traditionally been crunchtime for hospitals because of influenza and another seasonal pathogen, respiratory syncytial virus. Now SARS-CoV-2 has joined them to form an unholy trinity of pathogens that surge in the cold months, said the report. White House COVID-19 response coordinator Ashish Jha said the American health-care system may not be able to withstand the continued viral onslaught, straining the system's ability to care for other serious illnesses, the repot said.",Xinhua,2023-01-14 09:53
597,XBB.1.5 powering COVID hospitalizations in New York to highest level in a year: Fortune,"NEW YORK, Jan. 13 (Xinhua) -- New York COVID-19 hospitalizations are at their highest level in nearly a year just after a new, ultra-transmissible COVID variant XBB.1.5, known as Kraken, achieved dominance in the northeast United States, reported The Fortune magazine early this week. Current in-state COVID-19 hospitalizations are near 4,000, the highest level since February, according to the New York State Department of Health. ""It's unlikely that the XBB.1.5 subvariant is solely responsible for the increase in hospitalizations, given recent holiday gatherings and other seasonal factors known to drive up cases each winter,"" said the report. But the increase concerns experts given that the new variant was recently declared the most transmissible yet by the World Health Organization, and also due to New York's track record as a bellwether state for the rest of the country when it comes to COVID-19, it said. It's ""certainly possible"" that the regional rise in hospitalizations is a sign of things to come for the rest of the nation, Michael Merson, visiting professor at New York University's School of Global Public Health, was quoted as saying.",Xinhua,2023-01-14 09:58
592,Boosted security measures at U.S. schools fail to contain gun violence: media,"NEW YORK, Jan. 13 (Xinhua) -- Even as U.S. schools spend billions of dollars on security, the number of gun incidents on campus has only grown, reported The New York Times on Thursday. Last year, more than 330 people were fatally shot or wounded on school grounds, up from 218 in 2018, according to the K-12 School Shooting Database, a research project that tracks instances in which a gun is fired or brandished on school property. The overall number of incidents, which can include cases where no one was injured, also increased to more than 300, up from about 120 in 2018, and as few as 22 in 1999, according to the report. ""The uptick in school gun violence comes amid a broader increase in active shooter incidents and gun deaths in the United States. Overall, schools are still quite safe,"" the report noted. U.S. schools have amped up security over the past five years, with about two-thirds of public schools now controlling access to school grounds, not just the building, during the school day, up from about half in the 2017-2018 school year. An estimated 43 percent of public schools have a ""panic button"" or silent alarm that connect directly with the police in case of emergency, up from 29 percent five years ago, according to the report.",Xinhua,2023-01-14 09:59
593,"With pandemic aid gone, U.S. schools owe for free meals: report","NEW YORK, Jan. 13 (Xinhua) -- As schools around the United States reopen after winter break, their students are being reminded of the lunch debt they've racked up this school year. This is ""an ugly reality that follows the end of federal assistance that paid for school meals for more than 50 million students during the pandemic,"" reported USA Today on Friday. Congress ended the free-lunch-for-all program in June, reverting to a system in which low-income families had to fill out paperwork to qualify for aid based on their income. ""But some families have been left behind because they do not understand the application process, and others are rejected because they do not qualify,"" said the report. A family of four must earn about 36,000 U.S. dollars a year or less to qualify for free lunch. Schools often feed these students, requiring them to pay later and creating a debt many families cannot pay down. For some children, the debt can get so big that schools stop giving them a full meal. Community organizations, social media influencers and national nonprofits are trying to help fill the void with donations to cover the more than 19 million dollars in debt students have accrued just halfway into the school year, the report noted.",Xinhua,2023-01-14 10:00
594,U.S. Black fetal deaths twice as high as white deaths: study,"NEW YORK, Jan. 13 (Xinhua) -- A wide disparity in fetal mortality continued during the first two years of the COVID-19 pandemic in the United States, with Black mothers more than twice as likely to experience a fetal death at 20 weeks or more than white mothers, according to a new study. While fetal deaths decreased by 5 percent for Black mothers between 2020 and 2021, their rates remained significantly higher than white mothers, according to the study published by the U.S. Centers for Disease Control and Prevention (CDC) on Thursday. For Black mothers, the rate was 9.8 per 1,000 live births and fetal deaths in 2021, compared to white mothers' rate of 4.8, CDC data showed. The first year of the pandemic, the rate for Black fetal deaths was 10.34 and in 2019 the rate was 10.41, all more than double the rate white and Hispanic mothers experienced. Fetal mortality rates count deaths in gestation or stillbirths and do not include abortions or miscarriages. The CDC defines a miscarriage as a pregnancy loss before 20 weeks of gestational age.",Xinhua,2023-01-14 10:03
603,UN nuclear watchdog to increase presence in Ukraine,"VIENNA, Jan. 13 (Xinhua) -- The International Atomic Energy Agency (IAEA) said on Friday that it would step up its presence in Ukraine to help prevent a nuclear accident during the ongoing Russia-Ukraine conflict. The IAEA Director General Rafael Grossi said in a statement that he would travel to Ukraine next week to ""establish a continuous presence of nuclear safety and security experts"" at all of Ukraine's nuclear power facilities. ""This is an important step in our work to help Ukraine during these immensely difficult and challenging times,"" Grossi said. ""Our nuclear safety and security experts will monitor the situation at the plants, assess their equipment and other needs, provide technical support and advice, and report their findings to IAEA headquarters."" The UN nuclear watchdog has previously established a permanent presence of up to four experts at the embattled Zaporizhzhia nuclear power plant (NPP), Ukraine's largest such facility, according to the statement. Ukraine and Russia have traded accusations of strikes on the Zaporizhzhia NPP, which has been controlled by Russian forces since last March. Grossi also said in the statement that he would meet senior Ukrainian government officials in Kiev next week to discuss setting up a nuclear safety zone around the Zaporizhzhia NPP. ""I remain determined to make the much-needed protection zone a reality as soon as possible. My consultations with Ukraine and Russia are making progress, albeit not as fast as they should,"" Grossi said, adding that he remains hopeful about reaching an agreement on the issue soon.",Xinhua,2023-01-14 10:10
600,U.S. records over 24 million flu illnesses this season: CDC estimates,"LOS ANGELES, Jan. 13 (Xinhua) -- There have been at least 24 million illnesses, 260,000 hospitalizations and 16,000 deaths from flu so far this season in the United States, according to the latest estimates released by the U.S. Centers for Disease Control and Prevention (CDC) on Friday. Over 12,400 people were hospitalized due to flu in the country in the latest week ending Jan. 7, CDC data showed. Five influenza-associated pediatric deaths were reported this week, for a total of 79 pediatric flu deaths reported so far this season. The CDC urged the public to get flu shot annually to prevent infection and serious outcomes.",Xinhua,2023-01-14 10:11
602,Half of U.S. states allow permitless gun carrying,"WASHINGTON, Jan. 13 (Xinhua) -- Half of U.S. states sanction carrying a gun in public without first securing a license, said an article published Wednesday on the website of American Black newsroom TheGrio. In the United States, Black Americans are already 10 times more likely to die from gun homicides, 18 times more likely to experience gun assaults and three times more likely to be fatally shot by the police, TheGrio also reported. The United States continues to struggle with gun violence with more guns on the streets. Lethal risks increase with the presence of more guns on the streets in the absence of licenses requiring arms owners to keep guns to themselves. Crime researchers say the possibility of shootings increases, said the article. Black Americans are obviously taking the brunt.",Xinhua,2023-01-14 10:14
599,Arms control a priority in bilateral relations with U.S.: Mexican FM,"MEXICO CITY, Jan. 13 (Xinhua) -- Control of arms trafficking from the United States is a priority for Mexico in its bilateral relations with its northern neighbor, Mexican Foreign Affairs Minister Marcelo Ebrard said on Friday. ""We have talked enough about the problems and effects instead of the causes, because they annoy us,"" Ebrard said at the keynote session of the 34th meeting of Mexican ambassadors and consuls, adding that violence in Mexico cannot be reduced without arms control. ""The United States is the developed country which has the most violence, because you can buy a gun on every street corner,"" he said. Ebrard said that Mexican authorities seized 47 high-powered weapons, including anti-aircraft arms during the arrest of alleged drug trafficker Ovidio Guzman Lopez, son of imprisoned Mexican drug lord Joaquin ""El Chapo"" Guzman. The foreign minster noted that his country will use legal actions, political proposals, regulation proposals, control actions and lawsuits, such as those filed in U.S. courts against arms manufacturers and distributors, to prevent the entry of weapons.",Xinhua,2023-01-14 10:26
607,Uncertainties linger on amid energy transformation -- a global energy outlook in 2023,"BEIJING, Jan. 14 (Xinhua) -- In 2022, an energy crisis hit Europe, causing fuel shortages, business closures and economic slowdowns. The impacted countries were prompted to adjust domestic energy policy, and the world is feeling the spillover. Energy uncertainty will remain into 2023, given ongoing geopolitical conflicts, global warming and exchange rate volatility. Moreover, the international energy landscape could be profoundly reshaped. CHAIN REACTION ""The world is in the midst of its first global energy crisis -- a shock of unprecedented breadth and complexity,"" the International Energy Agency (IEA) said in its World Energy Outlook 2022 published in October. Due to tightened supplies, international energy prices have been highly volatile since last year. As the Ukrainian crisis escalated last year, the West imposed harsh sanctions on Russia, a major energy producer and exporter, disrupting energy supplies and pushing up prices. In European countries, wholesale prices for electricity and gas have risen five to 15-fold since early 2021, the Brussels-based economic think tank Bruegel said in a report, noting that if governments were to fully cover the cost of price increases for electricity and gas before markets find a new equilibrium at lower prices, it would cost about 1 trillion euros (1.07 trillion U.S. dollars). ""The capacity of government budgets to soften the impact on consumers is limited by the magnitude of existing debt and the volume of the price increases,"" said the report published in September. The crisis has spotlit fragile global supply chains. Due to the sharp decline in gas via pipelines from Russia, European countries have increased liquefied natural gas (LNG) imports but do not have sufficient LNG storage facilities. Europe's dependence on Russian energy will likely remain for a while. In 2021, the European Union imported more than 40 percent of its total gas consumption from Russia, 27 percent of its oil and 46 percent of its coal. Beyond Europe, a worldwide chain reaction is underway. Coal imports into India hit a record high. Economies such as Japan and South Korea are considering a return to nuclear power. Emerging and less developed economies relying on imported energy have had to compete with developed economies for energy at high prices. Meanwhile, U.S. energy exporters have gained huge profits, and regions with high natural gas reserves, such as North Africa, are trying to increase exports. Also a result of the crisis, commodity price volatility increased, with many countries experiencing high inflation. ENERGY PRICES TO STAY HIGH Unless geopolitics and global supply and demand fundamentally change, energy prices will remain high in the short run with tightened supply. In 2023, the EU's potential gas supply-demand gap could reach 27 billion cubic meters, Fatih Birol, executive director of the IEA, said in December when presenting a report titled ""How to avoid gas shortages in the European Union in 2023."" The shortfall represents about 6.8 percent of the EU's 2023 natural gas baseline demand. In its Oil Market Report in December, the IEA forecasted that the third quarter of 2023 would see a sharp deficit in crude oil. ""As we move through the winter months and towards a tighter oil balance"" in the third quarter of 2023, ""another price rally cannot be ruled out,"" it said. Energy prices are projected to decline 11 percent in 2023 and a further 12 percent in 2024 but will remain more than 50 percent above their five-year average through 2024, the World Bank said in its Commodity Markets Outlook in October. ""Persistently high energy prices will continue to have inflationary implications, particularly through second-round effects such as higher transport and electricity costs for businesses,"" it said. Though natural gas, coal and crude oil prices are expected to lower in 2023 on average, European gas and power markets may be even tighter in 2023, S&P Global Commodity Insights said in its 2023 energy outlook. ""With natural gas prices expected to remain elevated, structural reform of Europe's electricity markets to weaken the link between gas and power prices is high on the agenda for 2023, although there will be significant challenges to achieving such measures,"" it said. In the coming years, global energy supplies will be more unstable, with frequent mild shortages, possibly restricted Russian oil and gas production and exports, a rising share of renewables and a low willingness to invest in fossil fuels due to carbon peaking and carbon neutrality. High energy costs may drive energy-intensive businesses in many European countries to cut, shut down or shift production. ""If energy prices remain as high as they are at present in the long term, this could lead to some industries leaving Germany,"" said Oliver Falck, director of the ifo Center for Industrial Organization and New Technologies in Germany. UNCERTAIN ENERGY TRANSITION Experts said surging prices would force Europe to speed up its energy transition and turn to more green energy, which may not remedy the pressing crisis. As part of its REPowerEU plan launched in March, the EU announced in May an additional investment of 210 billion euros before 2027 toward its green transition, including diversification of energy supplies and an accelerated roll-out of renewable energy to replace fossil fuels. It also proposed increasing its binding energy efficiency target from 9 percent to 13 percent and its targeted percentage of renewable energy sources in the EU's overall energy mix from 40 percent to 45 percent by 2030. The global energy crisis is driving ""a sharp acceleration"" in installations of renewable power, with total capacity growth worldwide set to almost double in 2022-2027 and wind and solar to account for over 90 percent of the renewable power capacity added over the next five years. ""This is a clear example of how the current energy crisis can be a historic turning point towards a cleaner and more secure energy system,"" said Birol, IEA executive director. Although hikes in energy prices may speed up the transition to renewables to some degree, some experts worry that the current crisis might prompt certain countries to rely more on traditional energy instead of less. In 2023, most countries will develop both traditional and new energy to tackle the energy shock, The Economist said in November. ""In the short term they will embrace investment in polluting fossil fuels in return for security,"" it said. ""In the long term they will adopt state-led industrial policy in an attempt to accelerate a renewables build-out.""",Xinhua,2023-01-14 14:38
643,"Easy access to gun, violent media increase risk of child becoming shooter in U.S.: scholars","SYDNEY, Jan. 14 (Xinhua) -- Children in the United States are being influenced by gun violence depicted in media and easy access to firearms in their homes, which explained the tragedy of a first-grader shooting his teacher in Virginia, according to an analysis published Thursday. In an article released by the media network the Conversation, Brad Bushman, professor from the Ohio State University, and Dan Romer, research director from the University of Pennsylvania, elaborated on the factors regarding how a child in the United States becomes a shooter, after a 6-year-old boy shot a teacher at Richneck Elementary School in Virginia last week. The scholars said acts of gun violence in PG-13 movies have nearly tripled in the 30 years since the rating was introduced in 1984, while another 2019 survey of adults further showed that 12 percent said they were allowed to watch PG-13 movies between the ages of six and nine, with 6 percent saying they watched such films at an even younger age. Violent media can lead children to engage in more dangerous behavior if they find a real gun and desensitize or numb children to violence, increasing the possibility of them imitating the aggressive behaviors they watch and considering such behavior as normal, they warned. Besides, they also noted that the United States has far more civilian-owned guns per capita than any other country in the world, with 120.5 guns per 100 residents. Children are naturally curious, and adults often underestimate their ability to find guns hidden in the home, the scholars said. As every year more than 300 people in the United States are either wounded or killed in unintentional shootings by children, Bushman and Romer urged gun owners to lock away firearms, unloaded and with ammunition stored separately, especially if there are children at home.",Xinhua,2023-01-14 14:39
644,68 bodies recovered from plane crash site in Nepal,"  KATHMANDU, Jan. 15 (Xinhua) -- A total of 68 bodies had been recovered after a local passenger plane carrying 72 people crashed in the Pokhara region in central Nepal on Sunday, and the effort was continuing to find four others, officials said. ""We have found the dead bodies of 68 people so far,"" Jagannath Niroula, spokesperson of the Civil Aviation Authority of Nepal (CAAN), told Xinhua. Ajay KC, police chief of the Kaski district where Pokhara is located, told Xinhua earlier that the bodies were found at the crash site in the Seti River gorge which is over 200 meters deep. Brig. Gen. Krishna Prasad Bhandari, Nepal Army's spokesperson, said many of the bodies were beyond recognition and 80 percent of the plane had been gutted in fire. The rescuers were searching for the remaining bodies, he told Xinhua. Nepali soldiers and police officers are mobilized in the search and rescue effort. The ill-fated ATR-72 plane from Yeti Airlines took off from Kathmandu for Pokhara at 10:30 local time and it lost contact with the air traffic control at 10:50 local time, the CAAN said in a statement.   According to the agency, there were 68 passengers and four crew members aboard the flight, among them 15 foreigners, including five Indians, four Russians, two Koreans and one each from Australia, Ireland, Argentina and France. Prem Nath Thakur, general manager of the Tribhuvan International Airport in Kathmandu, said the plane had been granted landing clearance before it crashed in the Seti River gorge. The weather seemed not a factor in the accident, as it was ""very good"" in Pokhara from early morning, Thakur told a press conference, noting the pilots did not report technical problems either. Among the passengers aboard the flight, there were three children and three infants, Thakur added. The Nepali cabinet has declared a national mourning on Monday for the victims and decided to form a five-member committee to probe the cause of the accident, Minister for Industry, Commerce and Supplies Abdul Khan told Xinhua. The cabinet also directed airline operators to regularly and mandatorily get their planes checked, the minister said. In May 2022, a passenger plane operated by Tara Air crashed in Nepal's Mustang district, killing all 22 people aboard.",Xinhua,2023-01-16 08:19
742,Hundreds rally in NYC against U.S. war machine,"   NEW YORK, Jan. 15 (Xinhua) -- Hundreds of protesters from New York City and nearby regions held a rally and a march against U.S. involvement in overseas wars at Times Square on Saturday. The participants spoke against NATO's expansion and called for peace in Ukraine, criticizing U.S. hefty spending on the Ukraine crisis and the White House's announcement to provide Kiev with another Patriot surface-to-air missile battery. ""We're here today because we oppose the endless expansion of NATO, which is not only unnecessary but reckless and proactive,"" said Brian Becker, national director of the ANSWER Coalition, a major anti-war coalition in the United States.   Instead of escalating the war and sending more weapons to Ukraine, the United States should go back to the negotiating table and recognize that Russia has legitimate security concerns, Becker told Xinhua on the sidelines of the rally. ""We're also here today because the United States is spending extra 65 billion U.S. dollars to fund war in Ukraine while there are a million homeless people in America, while our schools are underfunded and many people are going into bankruptcy because they can't pay doctors' bills,"" said Becker, who urged his country to spend that money to help Americans in need rather than funding war and militarism. Initiated by the ANSWER Coalition and The People's Forum, a movement incubator for working class and marginalized communities, the rally is expected to be followed by similar protests in other U.S. cities ahead of Martin Luther King Jr. Day on Monday.",Xinhua,2023-01-16 08:22
740,"Interview: Japan's unilateral radioactive wastewater discharge irresponsible, harmful: green activist","SEOUL, Jan. 14 (Xinhua) -- Japan's unilateral push to discharge radioactive wastewater from its crippled Fukushima Daiichi nuclear power plant into the Pacific Ocean is irresponsible and harmful, as the Japanese government pursued it without consultations with neighboring countries, a South Korean green activist said. ""It is very concerned that Japan is still unilaterally pushing for the discharge of the Fukushima contaminated water,"" Ahn Jae-hun, energy and climate change director at the Korea Federation for Environment Movement, told Xinhua on Saturday. ""Neighboring countries such as (South) Korea and China could suffer more direct damage, so Japan had to consult with them. The problem is that Japan follows its own process (without consultations),"" said Ahn. ""A sizeable amount of the contaminated water, such as tritium, is difficult to purify no matter how much purification is performed. It is very irresponsible to release it as it is."" Japan's planned release of tritium-laced wastewater from the Fukushima power plant into the sea will start around this spring or summer, according to Kyodo News reports citing the Japanese government. Japan decided in April 2021 to start dumping about 1.25 million tons of nuclear wastewater into the ocean spanning 30 years from 2023. The Japanese government has claimed that the contaminated water could be diluted with water and discharged at a low concentration after being treated with an advanced liquid processing system (ALPS). The green activist, however, noted that the radioactive substances cannot be completely filtered through the ALPS, saying substances, such as tritium, will be poured into the sea unfiltered. ""A lot of radioactive materials have already flowed into the sea after the Fukushima nuclear disaster. Because of that, fish contaminated with cesium are caught in waters off Fukushima,"" said Ahn. According to the South Korean environmental group's analysis of the 2021 data from Japan's Ministry of Health, Labor and Welfare, cesium was detected from 8 percent of Japanese fishery products. ""Once (the contaminated water) is thrown into the sea, it cannot be retrieved. Environmental effects from radioactive materials cannot be felt immediately, but will inevitably appear over a long period of time,"" Ahn said. ""The Pacific Ocean is not the sea of Japan, but the sea of everybody ... Pollutants will flow to neighboring countries in a situation that a lot of radioactive materials have already been released and contaminated (the marine ecosystem),"" said the green activist. The South Korean government, which has opposed the radioactive wastewater dumping by Japan, reiterated its opposition. ""Putting top priority on public health and safety, the government will continue to respond by maintaining its position that the contaminated water from the Fukushima nuclear power plant should be safely disposed of in accordance with international standards from the objective and scientific perspectives,"" a South Korean foreign ministry official said Friday.",Xinhua,2023-01-16 09:06
743,Nations rolling out red carpet for Chinese tourists,"  Indonesian Ambassador Djauhari Oratmangun said on Friday that his country welcomes Chinese people to visit after Beijing optimized its COVID-19 response policy. He said that Chinese people who wish to enter Indonesia for purposes such as tourism, government duties, business meetings, purchasing goods and transit are eligible to apply for a visa on arrival, which enables a maximum stay of 60 days. ""Indonesia is wonderful and beautiful, please do come,"" he said, noting that a company based in Hangzhou, Zhejiang province, has planned to organize a conference for 200 to 300 people on the Indonesian island of Bali. Earlier this week, Indonesian Minister for Tourism and Creative Economy Sandiaga Uno said at a news briefing in Jakarta, the capital of Indonesia, that the Southeast Asian country expects at least 253,000 tourists from China this year. Indonesia is among the many countries that have introduced measures to welcome Chinese tourists since China started to implement new measures on crossborder travel on Jan 8. Mbelwa Kairuki, Tanzania's ambassador in Beijing, told China Daily that after three years of waiting, he was glad to welcome Chinese tourists to his homeland, where people can visit Serengeti National Park to see the world's second-largest mammal migration or climb Mount Kilimanjaro, which is also known as the ""rooftop of Africa"". On Monday, Thai Deputy Prime Minister and Minister of Health Anutin Charnvirakul and other Thai government officials greeted passengers from China at Bangkok Suvarnabhumi Airport and presented them with gifts and garlands. Cambodian Prime Minister Hun Sen said in a speech earlier this month that the presence of Chinese tourists is vital to the country's tourism and economic growth, adding that Cambodia will not follow some other nations in imposing COVID-19 related restrictions on people arriving from China. The Foreign Ministry of the Maldives said in a statement published on its website on Dec 28 that the country welcomes China's refinement of its exit and entry measures and ""is eagerly awaiting to welcome back Chinese tourists to the Maldives"". Chinese Foreign Ministry spokesman Wang Wenbin said at a news briefing earlier that friendly countries with hospitable hosts fill Chinese tourists' hearts with warmth and happiness and will naturally become favored destinations. He also said efforts will be made to make it easier for Chinese tourists to travel to those places, including by increasing the number of direct flights.",China Daily,2023-01-16 09:23
744,Strong explosions rock Ukrainian capital,"KIEV, Jan. 14 (Xinhua) -- Strong explosions rocked the Ukrainian capital on Saturday morning due to an apparent missile strike by Russian forces, authorities said. Several blasts occurred in the eastern Dniprovskiy district, and emergency crews rushed to the scene, Kiev Mayor Vitali Klitschko said on Telegram. Debris of a missile fell on an uninhabited area in the southern Holosiivskyi district, bringing no casualties, he said. Preliminary reports showed that a non-residential building caught fire in the Holosiivskyi district as a result of an attack carried out by Russian forces, he added. Kyrylo Tymoshenko, deputy head of the Ukrainian president's office, wrote on Telegram that the energy infrastructure in Kiev came under missile strikes. According to preliminary information, an infrastructure facility was also hit in the attack, the Kiev City Military Administration said in a statement.",Xinhua,2023-01-16 09:35
