,Title,Content,Author,Date and Time
357,The world’s fantasy destination has an answer to climate oblivion,"Lanky palms dip over white beaches of powder-fine sand. Decadent villas hover above impossibly warm shallows. All around, sea and air merge into a uniform shade of blue. These are the Fari Islands, the apex of tropical perfection situated near the northern end of the archipelago that makes up the Maldives, one of the ultimate vacation destinations for the world’s wealthiest. Made up of 1,200 specks of land sprinkled over hundreds of miles of Indian Ocean, the Maldives are in fact a series of 55 million-year-old limestone outcroppings perched atop a submerged volcanic plateau. But these islands, and many others like them, are dying. They are on the front lines of a losing battle with global warming, one in which paradise has been transformed into a sun-drenched dystopia as whole nations face a watery obliteration. Indeed, the climate prognosis for the Maldives is bleak: According to NASA and the U.S. Geological Survey, by 2050 some 80% of the country could be uninhabitable. Even if the world’s nations suddenly pivoted away from fossil fuels, this country’s fate seems unavoidable.","Ross Urken, Bloomberg",2023-01-03
356,A bittersweet first year for Germany’s new chancellor,"To celebrate his first year in office, German Chancellor Olaf Scholz made a playful nod to his “traffic light” coalition, a nickname that refers to the constituent parties’ three colors: He passed out chocolates shaped like the “Ampelmann,” the iconic figure on German pedestrian crossing signals. But the flavor he picked for those chocolates was bittersweet. The choice was symbolic. Scholz’s first 12 months as chancellor have been among the most tumultuous of Germany’s postwar history. It was not what he, or nearly anyone in Europe, had expected.","Erika Solomon, The New York Times",2023-01-03
355,How Russia’s war on Ukraine is worsening global starvation,"Hulking ships carrying Ukrainian wheat and other grains are backed up along the Bosporus in Istanbul as they await inspections before moving on to ports around the world. The number of ships sailing through this narrow strait, which connects Black Sea ports to wider waters, plummeted when Russia invaded Ukraine 10 months ago and imposed a naval blockade. Under diplomatic pressure, Moscow has begun allowing some vessels to pass, but it continues to restrict most shipments from Ukraine, which together with Russia once exported a quarter of the world’s wheat. And at the few Ukrainian ports that are operational, Russia’s missile and drone attacks on Ukraine’s energy grid periodically cripple the grain terminals where wheat and corn are loaded onto ships.","Edward Wong, Ana Swanson, The New York Times",2023-01-03
354,Investigations and gridlock: What to expect in the U.S. Congress in 2023,"After two years of one-party control, a fresh intake of U.S. lawmakers will be seated Tuesday in a Congress divided between a Democrat-led Senate and a House of Representatives with Republicans behind the wheel. Despite its razor thin majorities, the 2021-23 Democratic-controlled Congress was one of the most productive in modern history, writing all manner of legislation — much of it bipartisan — on manufacturing, infrastructure, gun control, the climate crisis and more. But Washington watchers fear the age of cross-party cooperation may be coming to an end, with the legislative process about to enter gridlock and Republicans promising an aggressive agenda of investigations into most aspects of U.S. President Joe Biden’s administration.","Frankie Taggart, AFP-Jiji",2023-01-03
353,Biden says no nuclear drills with Seoul after Yoon’s comments,"U.S. President Joe Biden has said he isn’t currently discussing joint nuclear exercises with South Korea after that country’s president said his government wanted a more active role in managing la. Asked by a reporter at the White House after returning from vacation in St. Croix whether he is “discussing joint nuclear exercises with South Korea right now,” Biden answered: “No.” He didn’t elaborate and spokespeople for the White House National Security Council didn’t respond to a request to clarify his remark.","Alexis Shan, Bloomberg",2023-01-03
352,Russian anger grows over strike that killed dozens of troops in Ukraine,"Russian nationalists and some lawmakers have demanded punishment for commanders they accused of ignoring dangers as anger grew over the killing of dozens of Russian soldiers in one of the Ukraine war's deadliest strikes. In a rare disclosure, Russia's defence ministry said 63 soldiers were killed on New Year's Eve in a fiery blast that destroyed a temporary barracks in a vocational college in Makiivka, twin city of the Russian-occupied regional capital of Donetsk in eastern Ukraine. Russian critics said the soldiers were being housed alongside an ammunition dump at the site, which the Russian defence ministry said was hit by four rockets fired from U.S.-made HIMARS launchers.","Pavel Polityuk, Reuters",2023-01-03
366,Experts skeptical that China travel curbs will be effective,"International measures on travelers from China will likely have little effect on containing COVID-19, health experts said Tuesday, pointing to a surging variant in the United States that may pose a larger threat. More than a dozen countries have imposed testing requirements on visitors from China, citing concerns about a lack of transparency in Beijing's infection data and the risk of a new variant of the virus emerging. China — which is experiencing an explosion of cases after lifting its long-standing ""zero-COVID"" measures — has branded the restrictions ""unacceptable"" and vowed to take countermeasures.","Isabelle Tourne, Daniel Lawler, AFP-Jiji",2023-01-04
342,'Not a traitor': The Russians fighting alongside Ukraine's forces,"For Russians who have been fighting on Ukraine's side as part of the Freedom of Russia legion since Russian President Vladimir Putin sent troops into Ukraine, secrecy is of the utmost importance. The exact number of their personnel is strictly confidential, their positions are never disclosed and their statements are carefully worded. Their spokesman, who uses the nom de guerre ""Caesar,"" walks through what remains of an Orthodox monastery in Dolyna, a village in eastern Ukraine's Donetsk region that was recaptured from Russian forces in the autumn.","Cecile Feuillatre, AFP-Jiji",2023-01-04
344,"Between war and red tape, many Iraqis lack official papers","Married for over a decade, Alia Abdel-Razak is one of a million Iraqis deprived of crucial civil status documents, often caught in legal limbo in a country paralyzed by bureaucracy and the ravages of war. The 37-year-old has to overcome countless hurdles just to get her children into school, and she cannot register her family to obtain the food subsidies she and her husband so desperately need. A mother of four, Abdel-Razak relies on a pro-bono lawyer from the International Rescue Committee (IRC) aid group to help her navigate the labyrinthine processes required to get her papers in order.","Tony Gamal-Gabriel, AFP-Jiji",2023-01-04
345,'Fix it' with money: Nicaraguan migrants run into Honduran graft,"For thousands of Nicaraguans who embark on an odyssey to the United States each year in search of a better life, the first hurdle is dealing with corrupt border agents in neighboring Honduras. Fleeing political and economic turmoil under President Daniel Ortega, dozens depart every day, leaving behind their families, selling off their belongings and entering into debt all for the chance at a new start. Yesica Centeno, 42, is a trained company administrator, one of vast numbers of Nicaraguans without work or earning paltry wages.",AFP-Jiji,2023-01-04
346,Gazans risk death at sea dreaming of life in Europe,"Younis al-Shaer left Gaza dreaming of a better life in Europe, only to return to the Palestinian enclave in a coffin. The 21-year-old was one of scores of Palestinians risking the perilous journey across the Mediterranean. He drowned alongside seven other Gazans, whose bodies were returned home in December, adding to a toll of nearly 2,000 people recorded as dead or missing last year in the Mediterranean by the United Nations refugee agency (UNHCR).","Adel Zaanoun, AFP-Jiji",2023-01-04
343,How pro-Putin operatives in Germany work to turn Berlin against Ukraine,"In a square beneath the twin spires of Cologne’s gothic cathedral, around 2,000 protesters gathered in September to urge Germany’s government to break with the Western coalition backing Ukraine and make peace with Russia. “We must stop being vassals of the Americans,” rightwing German politician Markus Beisicht said from a makeshift stage on the back of a truck. The crowd clapped and waved Russian and German flags. A lean man in camouflage trousers stood at the side of the stage, obscured from the crowd by a tarpaulin. A few meters away, a burly man in dark sunglasses stood guard. The rally’s organizers did not welcome questions. Most declined to speak when approached by reporters. One protester tried to persuade a police officer to arrest a reporter as a Ukrainian spy.","Polina Nikolskaya, Mari Saito, Maria Tsvetkova, Anton Zverev, REUTERS",2023-01-04
359,Russia blames its soldiers' mobile phone use for deadly missile strike,"Russia’s defense ministry on Wednesday blamed the illegal use of mobile phones for a deadly Ukrainian missile strike that killed 89 servicemen, raising the reported death toll significantly. Moscow previously said 63 Russian soldiers were killed in the weekend strike. The ministry’s reaction came amid mounting anger among some Russian commentators, who are increasingly vocal about what they see as a halfhearted campaign in Ukraine. Most of the anger on social media was directed at military commanders rather than Russian President Vladimir Putin.","Bogdan Kochubey, REUTERS",2023-01-04
360,Most EU countries back pre-departure COVID testing for flights from China,"Most European Union countries favor introducing pre-departure COVID testing for travelers from China, the European Commission said on Tuesday, as Beijing plans to lift travel restrictions on its citizens despite a wave of COVID-19 infections. The common EU approach emerged after a meeting on Tuesday of the Health Security Committee, an EU advisory body of national health experts from the EU’s 27 countries and chaired by the Commission. “The overwhelming majority of countries are in favor of pre-departure testing,” a Commission spokesman said.",REUTERS,2023-01-04
361,U.S. House adjourns with Kevin McCarthy’s speaker bid still in doubt,"The U.S. House abruptly adjourned Tuesday without electing a new speaker after Republican leader Kevin McCarthy failed to win a majority in three rounds of voting amid a rebellion by a small group of conservatives. The losses on consecutive votes were a personal and political blow to McCarthy, who has spent the past year courting hard-line conservatives in the Republican caucus, and it overshadowed the GOP’s midterm success that won them narrow control of the House. It was the first time in a century that the House hasn’t elected a speaker, the top position in Congress, after one round of balloting. With his opponents showing no sign of relenting, McCarthy and the holdouts were expected to engage in negotiations through the night. It was unclear what further concessions McCarthy could offer that would win over the holdouts.","Billy House, Erik Wasson, Bloomberg",2023-01-04
362,Robot fireflies and okra band-aids: 2022's nature-inspired solutions,"Even as animals and plants face widespread extinction from human-driven causes such as climate change, the natural world continues to inspire scientific discovery in unexpected ways. “Nature has spent hundreds of millions of years optimizing elegant solutions to extremely complicated problems,” said Alon Gorodetsky, a biomedical engineer at the University of California, Irvine. “So if we look to nature, we can shortcut our development process and get to a valuable solution right away,” he said.",AFP-Jiji,2023-01-04
349,Sunak’s speech promises not as straight-talking as they seem,"British Prime Minister Rishi Sunak on Wednesday sought to portray himself as a straight-talking, sensible politician who the British electorate can trust. The message wasn’t subtle: He’s a different Conservative prime minister to his two predecessors last year. “I will only promise what I can deliver, and I will deliver what I promise,” Sunak said after outlining five key promises to voters in his first speech of the year.","Alex Wickham, Bloomberg",2023-01-05
348,CCTV cameras will watch over Egyptians in new high-tech capital,"The gleaming tower blocks and high-tech facilities of Egyptian President Abdel-Fattah el-Sissi’s flagship new capital are a far cry from Cairo’s congested streets and crumbling facades. In the New Administrative Capital that is taking shape in the desert, lampposts double up as Wi-Fi hotspots, keycards grant access to buildings, and more than 6,000 surveillance cameras keep watch over the first of its 6.5 million planned residents. A single mobile app allows the city’s inhabitants to make utility payments, access public services and register complaints with the authorities.",Thomson Reuters Foundation,2023-01-05
347,Kevin McCarthy's allies struggle to save his bid for U.S. House speaker,"Kevin McCarthy’s Republican allies worked frantically behind closed doors on Wednesday to save his bid to become speaker of the U.S. House of Representatives, as he suffered defeat after defeat from 20 hard-line conservatives from his own party. McCarthy fell short in six consecutive ballots in two days, as Republican holdouts deemed him ideologically unreliable and defied a call for unity from former President Donald Trump. It was unclear whether he could overcome hard-line opposition that could force the party to pick another candidate. With frustrations rising among McCarthy’s backers, lawmakers adjourned until the evening to resume negotiations that had proven fruitless so far.",Reuters,2023-01-05
351,Iran warns France over 'insulting' Khamenei cartoons,"Iran warned France on Wednesday of consequences after satirical magazine Charlie Hebdo published cartoons depicting Ayatollah Ali Khamenei, the country’s supreme leader, that Tehran deemed to be insulting. The weekly had published dozens of cartoons ridiculing the highest religious and political figure in the Islamic Republic as part of a competition it launched in December in support of the three-month-old protest movement. “The insulting and indecent act of a French publication in publishing cartoons against the religious and political authority will not go without an effective and decisive response,” tweeted Iran’s Foreign Minister Hossein Amir-Abdollahian.",AFP-JIJI,2023-01-05
341,Deadly Ukraine strike reveals Russian tech weakness,"Russia has blamed the deaths of scores of its soldiers in a New Year missile strike on its troops using unsecured, traceable mobile phones on the battlefield. But if Ukrainian forces did use geolocation of phones to target its strikes, it also reveals the Russian army’s operational carelessness in the field, say analysts. “It is already obvious that the main reason for what has happened was the turning on and massive use by personnel of mobile phones within reach of enemy weapons,” said Russian Lieutenant General Sergei Sevryukov.","Didier Lauras, AFP-JIJI",2023-01-05
340,Brazil's Bolsonaro faces legal risks after losing immunity,"Former Brazilian President Jair Bolsonaro’s loss of broad protections from prosecution leaves him more exposed to criminal and electoral probes that could lead to his arrest or prevent him from running for office. Bolsonaro, a far-right nationalist, left Brazil for Florida on Friday after losing to leftist President Luiz Inacio Lula da Silva in Brazil’s most fraught vote in a generation. It remains unclear how long he plans to stay in Florida, which is home to his political idol, former U.S. President Donald Trump. Bolsonaro’s U.S. trip insulates him from any immediate legal jeopardy in Brazil, where he is under investigation in at least four criminal probes.","Ricardo Brito, Gabriel Araujo, Reuters",2023-01-05
350,Many thousands expected for funeral of former Pope Benedict,"Former Pope Benedict, a hero to Roman Catholic conservatives who shocked the world by resigning nearly a decade ago, will be given a final farewell on Thursday at a funeral presided over by his successor. Benedict died at 95 last Saturday in a monastery within the Vatican gardens where he moved after becoming the first pontiff in 600 years to stand down, opening the way for the election of Pope Francis, who has proved a more reformist, hands-on leader. Tens of thousands of people are expected to attend Thursday’s funeral in front of the imposing St. Peter’s Basilica. In keeping with Benedict’s wishes, the ceremony will be simple, sombre and sober, the Vatican has said.",Reuters,2023-01-05
331,"McCarthy fails in 11th U.S. Speaker vote, cementing longest fight since 1859","The House voted to adjourn for the day Thursday after Kevin McCarthy was blocked for the 11th time in his bid to become speaker by a group of 20 Republican dissidents who have yet to agree on a deal that satisfies their demands. The stalemate has left House Republicans fractured after they reclaimed the majority in the November election and has stopped all other business in the chamber. McCarthy has tried to break the deadlock by offering significant concessions on House rules that would weaken his power and his ability to control hard-liners in his party, which would raise the risk of chaos on issues such as the debt ceiling and government spending. Yet after three days of voting, 20 of 221 Republicans held firm in their opposition to McCarthy, more than enough to deny him the majority he requires to be elected speaker.","Billy House, Erik Wasson, Bloomberg",2023-01-06
332,Pope Francis leads final farewell to Benedict before thousands,"Pope Francis led the funeral of his predecessor Benedict XVI on Thursday in front of tens of thousands of mourners in St. Peter’s Square, an event unprecedented in modern times. Scarlet-clad cardinals, dignitaries and thousands of priests and nuns from around the world gathered to say goodbye to the German theologian, who stunned the Catholic church in 2013 by becoming the first pontiff in six centuries to resign. For the first time in modern history, the papal funeral was led by a sitting pope, Francis, who delivered the homily to an estimated crowd of 50,000 people.",AFP-JIJI,2023-01-06
333,'Feels like summer': Warm winter breaks temperature records in Europe,"Record-high winter temperatures have swept across parts of Europe, bringing calls from activists for faster action against climate change while offering short-term respite to governments struggling with high gas prices. Hundreds of sites have seen temperature records smashed in the past days, from Switzerland to Poland to Hungary, where Budapest registered its warmest Christmas Eve on record and the south of the country saw temperatures climb to 18.9 degrees Celsius on Jan. 1. In France, where the night of Dec. 30 was the warmest since records began, temperatures climbed to nearly 25 degrees in the southwest on New Year’s Day, while normally bustling European ski resorts were deserted due to a lack of snow.","Matthias Williams, Kate Abnett, Reuters",2023-01-06
334,New Arab allies face quandary as Israel shifts hard to the right,"Israel’s sharp tilt to what is likely to be the most right-wing government in its history puts its new Arab allies in the awkward position of having to deal with ultra-nationalists while trying to do more than just pay lip service to the Palestinian cause. Prime Minister Benjamin Netanyahu’s Cabinet, sworn in last week, includes hardcore rightist parties who want to annex occupied West Bank land where Palestinians have long sought to establish an independent state. That poses a dilemma for four Arab states — the United Arab Emirates, Bahrain, Morocco and Sudan — that moved toward normal ties with Israel two years ago and now have to balance this new partnership with historic support for Palestinian aspirations.","Nidal Al-Mughrabi, Dan Williams, Aziz El Yaakoubi, Reuters",2023-01-06
329,California lashed by deadly 'atmospheric river' storm,"A massive Pacific storm unleashed high winds, torrential rains and heavy snow across California for a second day on Thursday, knocking out power to tens of thousands of homes and threatening much of the state with flash flooding and mudslides. At least two fatalities have been reported since Wednesday. The deadly storm was powered by two overlapping phenomena — an immense airborne stream of dense moisture from the ocean called an atmospheric river, and a sprawling, hurricane-force low-pressure system known as a bomb cyclone.",Reuters,2023-01-06
330,Kyiv dismisses Putin's surprise cease-fire order as 'hypocrisy',"Russian President Vladimir Putin ordered his forces to cease fighting in Ukraine for 36 hours starting Friday at noon, Moscow time, but Kyiv quickly dismissed the move as a ploy, unlikely to slow a conflict that’s heading for its second year. The Kremlin said Putin gave the order Thursday for Russian Orthodox Christmas. It follows an appeal by the patriarch of that church, which has close ties to the Kremlin. Kyiv quickly denounced the move.","AFP-JIJI, Bloomberg",2023-01-06
335,Collapse and contamination: Mexican scientists sound alarm over Mayan Train,"Parts of Mexico’s remote southern jungles have barely changed since the time of the ancient Maya. In the eyes of President Andres Manuel Lopez Obrador, a railway his government is building — known as the Tren Maya — will bring modern connectivity to areas for generations deprived of significant economic benefits. But the railway and its hasty construction also critically endanger pristine wilderness and ancient cave systems beneath the jungle floor, droves of scientists and environmental activists say.","Cassandra Garrison, Jose Luis Gonzalez, Reuters",2023-01-06
328,"‘Crisis and confusion’: Four days of Republican barbs, chaos and cigars","It was four days of name-calling, late-night huddles, rush deliveries of pizzas and burritos. It was cigar smoke wafting through the hallways, diaper changes and a dog on the floor of the U.S. House of Representatives. Then a near-fist fight. Establishment Republicans were horrified. Democrats snickered. Comedian Jon Stewart called it the best season of C-SPAN ever. The first week of the new Congress with Republicans in charge of the House was marred by conflict about their leader, Kevin McCarthy. Rules weren’t broken because they were nonexistent. Post-Civil War records were shattered, and long-held Republican traditions were abandoned.","Laura Litvan, Billy House, Erik Wasson, Bloomberg",2023-01-07
317,Alzheimer’s drug made jointly by Japan's Eisai wins accelerated U.S. approval,"The U.S. Food and Drug Administration on Friday approved a highly anticipated new drug designed to slow cognitive decline in patients in mild and early stages of Alzheimer’s disease. The FDA approval of the drug, Leqembi, also known as lecanemab, comes just days after the regulatory agency was harshly criticized in a congressional report for its green-lighting of another Alzheimer’s drug, Aduhelm. And it was granted despite trial results showing the monoclonal antibody treatment carries risks of brain swelling and bleeding.","AFP-JIJI, KYODO, Reuters",2023-01-07
316,Ukrainians mark Orthodox Christmas in Poland with a prayer to return home,"Victoria, a Ukrainian refugee, is celebrating Orthodox Christmas in Poland with a simple prayer — that next year she will be back at home. The 40-year-old is one of the millions of Ukrainians who have fled the Russian invasion of their homeland and are marking the holiday with mixed emotions — relief that they are safe, but sadness to be away from their families. ""The important thing is that it's still a family holiday. … We hope to celebrate next Christmas with our family back home,"" Victoria said.","Agnieszka Pikulicka-Wilczewska, Reuters",2023-01-07
336,'What cease-fire?' Shells fly at Ukraine front despite Putin's truce.,"Russian and Ukrainian forces exchanged artillery fire at the front line in Ukraine on Friday, even after Moscow said it had ordered its troops to stop shooting for a unilateral truce that was firmly rejected by Kyiv. President Vladimir Putin ordered the 36-hour cease-fire from midday on Friday to observe Russian Orthodox Christmas. Ukraine has said it has no intention to stop fighting, rejecting the purported truce as a stunt by Moscow to buy time to reinforce troops that have taken heavy losses this week. ""What cease-fire? Can you hear?"" said a Ukrainian soldier, using the nom de guerre Vyshnya, as an explosion rang out in the distance at the front line near Kreminna in eastern Ukraine. ""What do they want to achieve if they keep on shooting? We know, we have learnt not to trust them.""",REUTERS,2023-01-07
338,"After bitter intraparty dispute, Kevin McCarthy named U.S. House speaker","Republican favorite Kevin McCarthy was named speaker of the U.S. House of Representatives on Saturday as he finally quelled a fierce rebellion among his party’s ranks that had paralyzed the lower chamber of Congress for days. McCarthy was always the front-runner to lead the Republican-led House, but his victory in the small hours of the morning was almost derailed by a right-wing revolt in his party that extended the contest to a historic 15 rounds of voting. The speaker wields huge influence in Washington by presiding over House business and is second in line to the presidency, after the vice president.",AFP-JIJI,2023-01-07
339,Biden's new border plan undercuts campaign vow to restore asylum access,"U.S. President Joe Biden’s move this week to block migrants at the U.S.-Mexico border aims to reduce the record numbers of crossings and shield him from Republican criticism, but is a turn away from his campaign promise to restore access to asylum. Initial backlash to Biden’s policy shift also signals it could be challenged in court, from both those who favor restricting immigration and advocates for asylum-seekers. The Democratic president on Thursday announced a new two-pronged strategy that pairs deterrence measures blocking Cuban, Haitian and Nicaraguan migrants at the U.S.-Mexico border while opening new legal, limited pathways into the United States for them.","Ted Hesson, Kristina Cooke, REUTERS",2023-01-07
337,"International fusion energy project faces delays, chief says","An international project in nuclear fusion may face “years” of delays, its boss has said, weeks after in their own quest for the coveted goal. The International Thermonuclear Experimental Reactor (ITER) project seeks to prove the feasibility of fusion as a large-scale and carbon-free source of energy. Installed at a site in southern France, the decadesold initiative has a long history of technical challenges and cost overruns.",AFP-JIJI,2023-01-07
320,"Health experts warily eye XBB.1.5, the latest omicron subvariant","Three years into the pandemic, the coronavirus continues to impress virus experts with its swift evolution. A young version, known as XBB.1.5, has quickly been spreading in the United States over the past few weeks. As of Friday, the Centers for Disease Control and Prevention estimated that it made up 72% of new cases in the Northeast and 27.6% of cases across the country. The new subvariant, first sampled in autumn in New York state, has a potent array of mutations that appear to help it evade immune defenses and improve its ability to invade cells.","Carl Zimmer, The New York Times",2023-01-08
318,U.S. House Speaker Kevin McCarthy starts out with agenda already hemmed in by dissidents,"sought to rally Republicans with pledges to champion federal spending cuts, strengthen border security and counter “woke indoctrination,” hinting at his dependence on a small group of populist conservatives over the next two years. Fresh from a leadership struggle that lasted more than four days and raised questions about his party’s capacity to fulfill basic functions of governing, McCarthy now confronts a Democratic-controlled Senate and White House at the helm of a slender, fractious House majority. The ideological divisions, distrust and grievances that flared over 15 ballots to pick a House speaker — usually a formality at the opening of a new Congress — signals difficulties ahead in mustering votes for essential tasks such as keeping the government open and avoiding a U.S. credit default.","Mike Dorning, Billy House, Steven T. Dennis, Bloomberg",2023-01-08
321,Moscow ends self-proclaimed 36-hour cease-fire,"Russia’s bombing of regions in eastern Ukraine killed at least two people overnight, local officials said on Sunday, after Moscow ended a self-declared Christmas cease-fire and vowed to push on with combat until it reaches a victory over its neighbor. President Vladimir Putin ordered a 36-hour cease-fire along the line of contact from Friday at midday to observe Russia and Ukraine’s Orthodox Christmas, which fell on Saturday. Ukraine rejected the truce, and the general staff of Ukraine’s armed forces said Russian troops had shelled dozens of positions and settlements along the front line on Saturday.",Reuters,2023-01-08
319,Seattle schools sue Big Tech over youth mental health crisis,"The Seattle city school district filed a novel lawsuit blaming Big Tech for poisoning youth with social media addiction, saying the schools can’t fulfill their educational mission while students are suffering from anxiety, depression and other psychological troubles. Alphabet, Meta Platforms, Snap and ByteDance, the owner of TikTok, are responsible for hooking young people on their platforms and creating a mental health crisis, according to the complaint filed late Friday in Seattle federal court. The district includes more than 100 schools and serves about 50,000 children. The suit appears to be the first of its kind in the U.S. brought by a school district, following similar claims filed last year by scores of families, including more than a dozen blaming the tech companies for suicides.","Peter Blumberg, Bloomberg",2023-01-08
323,NATO declines Serbia's request to deploy its troops in Kosovo,"NATO’s mission in Kosovo, KFOR, has declined a Serbian government request to send up to 1,000 police and army personnel to Kosovo following a spate of clashes between Serbs and Kosovo authorities, President Aleksandar Vucic said on Sunday. Serbia’s former province of Kosovo declared independence in 2008 following the 1998-1999 war during which NATO bombed rump-Yugoslavia comprising Serbia and Montenegro to protect Albanian-majority Kosovo. “They (KFOR) replied they consider that there is no need for the return of the Serbian Army to Kosovo … citing the United Nations resolution approving their mandate in Kosovo,” Serbia’s Vucic said in an interview with the private Pink television.",Reuters,2023-01-08
